City,City_ascii,State_id,State_name,County_name,Lat,Long,Population,Density,Timezone,Ranking,Id
Omaha,Omaha,NE,Nebraska,Douglas,41.2627,-96.0522,847819,1309,America/Chicago,2,1840009315
El Paso,El Paso,TX,Texas,El Paso,31.8479,-106.4309,843386,1022,America/Denver,2,1840023252
Honolulu,Honolulu,HI,Hawaii,Honolulu,21.3294,-157.8460,820987,2200,Pacific/Honolulu,2,1840013305
McAllen,McAllen,TX,Texas,Hidalgo,26.2273,-98.2471,804114,841,America/Chicago,2,1840021024
Albuquerque,Albuquerque,NM,New Mexico,Bernalillo,35.1053,-106.6464,761195,1155,America/Denver,2,1840019176
Birmingham,Birmingham,AL,Alabama,Jefferson,33.5277,-86.7987,739573,553,America/Chicago,2,1840006507
Sarasota,Sarasota,FL,Florida,Sarasota,27.3386,-82.5431,722243,1528,America/New_York,2,1840015988
Dayton,Dayton,OH,Ohio,Montgomery,39.7797,-84.1998,718353,978,America/New_York,2,1840034249
Rochester,Rochester,NY,New York,Monroe,43.1680,-77.6162,703952,2220,America/New_York,2,1840000373
Fresno,Fresno,CA,California,Fresno,36.7831,-119.7941,703498,1789,America/Los_Angeles,2,1840020319
Allentown,Allentown,PA,Pennsylvania,Lehigh,40.5961,-75.4756,683794,2672,America/New_York,2,1840001044
Tulsa,Tulsa,OK,Oklahoma,Tulsa,36.1284,-95.9042,671033,784,America/Chicago,2,1840021672
Cape Coral,Cape Coral,FL,Florida,Lee,26.6446,-81.9956,668382,708,America/New_York,2,1840015130
Concord,Concord,CA,California,Contra Costa,37.9722,-122.0016,652308,1633,America/Los_Angeles,2,1840018905
Colorado Springs,Colorado Springs,CO,Colorado,El Paso,38.8674,-104.7606,642413,946,America/Denver,2,1840018825
Charleston,Charleston,SC,South Carolina,Charleston,32.8153,-79.9628,628377,480,America/New_York,2,1840015163
Springfield,Springfield,MA,Massachusetts,Hampden,42.1155,-72.5395,623401,1860,America/New_York,2,1840000466
Grand Rapids,Grand Rapids,MI,Michigan,Kent,42.9620,-85.6562,609314,1734,America/Detroit,2,1840002928
Mission Viejo,Mission Viejo,CA,California,Orange,33.6095,-117.6550,590249,2058,America/Los_Angeles,2,1840020580
Albany,Albany,NY,New York,Albany,42.6664,-73.7987,586383,1740,America/New_York,2,1840000417
Knoxville,Knoxville,TN,Tennessee,Knox,35.9692,-83.9496,586048,733,America/New_York,2,1840014486
Bakersfield,Bakersfield,CA,California,Kern,35.3529,-119.0359,579295,990,America/Los_Angeles,2,1840019148
Ogden,Ogden,UT,Utah,Weber,41.2278,-111.9682,578523,1230,America/Denver,2,1840020135
Baton Rouge,Baton Rouge,LA,Louisiana,East Baton Rouge,30.4418,-91.1310,570308,983,America/Chicago,2,1840013941
Akron,Akron,OH,Ohio,Summit,41.0798,-81.5219,565208,1231,America/New_York,2,1840000791
New Haven,New Haven,CT,Connecticut,New Haven,41.3112,-72.9246,564830,2690,America/New_York,2,1840004850
Columbia,Columbia,SC,South Carolina,Richland,34.0376,-80.9037,560041,373,America/New_York,2,1840014730
Mesa,Mesa,AZ,Arizona,Maricopa,33.4017,-111.7180,518012,1448,America/Phoenix,2,1840020566
Palm Bay,Palm Bay,FL,Florida,Brevard,27.9550,-80.6627,507002,456,America/New_York,2,1840015094
Provo,Provo,UT,Utah,Utah,40.2457,-111.6457,500617,1080,America/Denver,2,1840020174
Worcester,Worcester,MA,Massachusetts,Worcester,42.2705,-71.8079,498328,1916,America/New_York,2,1840000434
Murrieta,Murrieta,CA,California,Riverside,33.5720,-117.1909,496046,1335,America/Los_Angeles,2,1840020553
Greenville,Greenville,SC,South Carolina,Greenville,34.8353,-82.3647,484465,920,America/New_York,2,1840013501
Wichita,Wichita,KS,Kansas,Sedgwick,37.6896,-97.3442,482249,931,America/Chicago,2,1840001686
Toledo,Toledo,OH,Ohio,Lucas,41.6639,-83.5822,482111,1308,America/New_York,2,1840000572
Staten Island,Staten Island,NY,New York,Richmond,40.5834,-74.1496,476143,3156,America/New_York,2,1840034032
Des Moines,Des Moines,IA,Iowa,Polk,41.5725,-93.6105,473957,938,America/Chicago,2,1840007069
Long Beach,Long Beach,CA,California,Los Angeles,33.7981,-118.1675,462628,3523,America/Los_Angeles,2,1840020490
Port St. Lucie,Port St. Lucie,FL,Florida,St. Lucie,27.2796,-80.3883,461152,653,America/New_York,2,1840015119
Denton,Denton,TX,Texas,Denton,33.2176,-97.1419,457177,567,America/Chicago,2,1840019390
Madison,Madison,WI,Wisconsin,Dane,43.0826,-89.3931,447245,1263,America/Chicago,2,1840002915
Reno,Reno,NV,Nevada,Washoe,39.5497,-119.8483,445020,907,America/Los_Angeles,2,1840020121
Harrisburg,Harrisburg,PA,Pennsylvania,Dauphin,40.2752,-76.8843,442289,2343,America/New_York,2,1840001288
Little Rock,Little Rock,AR,Arkansas,Pulaski,34.7256,-92.3576,439815,634,America/Chicago,2,1840015509
Oakland,Oakland,CA,California,Alameda,37.7903,-122.2165,433031,2991,America/Los_Angeles,2,1840020296
Durham,Durham,NC,North Carolina,Durham,35.9794,-78.9031,424700,959,America/New_York,2,1840013364
Winston-Salem,Winston-Salem,NC,North Carolina,Forsyth,36.1029,-80.2611,422269,721,America/New_York,2,1840015324
Bonita Springs,Bonita Springs,FL,Florida,Lee,26.3559,-81.7861,421291,600,America/New_York,2,1840014227
Indio,Indio,CA,California,Riverside,33.7346,-116.2346,417059,1066,America/Los_Angeles,2,1840019304
Palm Coast,Palm Coast,FL,Florida,Flagler,29.5392,-81.2460,417007,364,America/New_York,2,1840015064
Chattanooga,Chattanooga,TN,Tennessee,Hamilton,35.0657,-85.2488,415501,493,America/New_York,2,1840014569
Spokane,Spokane,WA,Washington,Spokane,47.6671,-117.4330,412275,1247,America/Los_Angeles,2,1840021093
Syracuse,Syracuse,NY,New York,Onondaga,43.0409,-76.1438,404223,2195,America/New_York,2,1840000378
Lancaster,Lancaster,PA,Pennsylvania,Lancaster,40.0421,-76.3012,401524,3166,America/New_York,2,1840003718
Arlington,Arlington,TX,Texas,Tarrant,32.6998,-97.1250,398854,1607,America/Chicago,2,1840019422
Stockton,Stockton,CA,California,San Joaquin,37.9765,-121.3109,397264,1941,America/Los_Angeles,2,1840021517
Poughkeepsie,Poughkeepsie,NY,New York,Dutchess,41.6949,-73.9210,394760,2290,America/New_York,2,1840000500
Augusta,Augusta,GA,Georgia,Richmond,33.3645,-82.0708,390809,252,America/New_York,2,1840029462
Boise,Boise,ID,Idaho,Ada,43.6007,-116.2312,389280,1056,America/Boise,2,1840027142
Oxnard,Oxnard,CA,California,Ventura,34.1963,-119.1815,387647,3040,America/Los_Angeles,2,1840020474
Scranton,Scranton,PA,Pennsylvania,Lackawanna,41.4044,-75.6649,384250,1169,America/New_York,2,1840003389
Modesto,Modesto,CA,California,Stanislaus,37.6374,-121.0028,383134,1933,America/Los_Angeles,2,1840020287
Kissimmee,Kissimmee,FL,Florida,Osceola,28.3042,-81.4164,382720,1349,America/New_York,2,1840015109
Aurora,Aurora,CO,Colorado,Adams,39.7087,-104.7273,379289,949,America/Denver,2,1840018794
Youngstown,Youngstown,OH,Ohio,Mahoning,41.0993,-80.6463,378732,744,America/New_York,2,1840003563
Fayetteville,Fayetteville,AR,Arkansas,Washington,36.0713,-94.1660,351246,625,America/Chicago,2,1840013368
Anaheim,Anaheim,CA,California,Orange,33.8390,-117.8572,350365,2688,America/Los_Angeles,2,1840019322
Pensacola,Pensacola,FL,Florida,Escambia,30.4427,-87.1886,346921,903,America/Chicago,2,1840015005
Victorville,Victorville,CA,California,San Bernardino,34.5277,-117.3536,346789,641,America/Los_Angeles,2,1840021731
Lancaster,Lancaster,CA,California,Los Angeles,34.6935,-118.1753,343304,645,America/Los_Angeles,2,1840020516
Greensboro,Greensboro,NC,North Carolina,Guilford,36.0956,-79.8269,343090,887,America/New_York,2,1840013356
Corpus Christi,Corpus Christi,TX,Texas,Nueces,27.7260,-97.3755,342464,789,America/Chicago,2,1840019718
Fort Wayne,Fort Wayne,IN,Indiana,Allen,41.0886,-85.1437,334122,943,America/Indiana/Indianapolis,2,1840008261
Santa Ana,Santa Ana,CA,California,Orange,33.7366,-117.8819,332318,4689,America/Los_Angeles,2,1840021964
Flint,Flint,MI,Michigan,Genesee,43.0235,-83.6922,332190,1103,America/Detroit,2,1840002949
Fayetteville,Fayetteville,NC,North Carolina,Cumberland,35.0846,-78.9776,327435,552,America/New_York,2,1840013490
Jackson,Jackson,MS,Mississippi,Hinds,32.3163,-90.2124,325350,558,America/Chicago,2,1840014895
Santa Rosa,Santa Rosa,CA,California,Sonoma,38.4458,-122.7067,324634,1605,America/Los_Angeles,2,1840021488
Lansing,Lansing,MI,Michigan,Ingham,42.7142,-84.5601,324286,1164,America/Detroit,2,1840003102
San Juan,San Juan,PR,Puerto Rico,San Juan,18.4037,-66.0636,323279,3157,America/Puerto_Rico,2,1630035577
Lexington,Lexington,KY,Kentucky,Fayette,38.0423,-84.4587,323152,439,America/New_York,2,1840015211
Ann Arbor,Ann Arbor,MI,Michigan,Washtenaw,42.2755,-83.7312,322267,1659,America/Detroit,2,1840003172
Henderson,Henderson,NV,Nevada,Clark,36.0133,-115.0380,320189,1165,America/Los_Angeles,2,1840020361
Huntsville,Huntsville,AL,Alabama,Madison,34.6988,-86.6412,319249,361,America/Chicago,2,1840005061
Mobile,Mobile,AL,Alabama,Mobile,30.6783,-88.1162,315502,522,America/Chicago,2,1840006009
Fort Collins,Fort Collins,CO,Colorado,Larimer,40.5478,-105.0656,312666,1149,America/Denver,2,1840020151
Asheville,Asheville,NC,North Carolina,Buncombe,35.5704,-82.5536,312507,786,America/New_York,2,1840013411
Santa Clarita,Santa Clarita,CA,California,Los Angeles,34.4175,-118.4964,312446,1162,America/Los_Angeles,2,1840021864
St. Paul,St. Paul,MN,Minnesota,Ramsey,44.9477,-93.1040,308096,2288,America/Chicago,2,1840008940
Antioch,Antioch,CA,California,Contra Costa,37.9789,-121.7958,302419,1466,America/Los_Angeles,2,1840018903
Lakeland,Lakeland,FL,Florida,Polk,28.0556,-81.9545,302284,654,America/New_York,2,1840015108
Trenton,Trenton,NJ,New Jersey,Mercer,40.2236,-74.7641,290716,4238,America/New_York,2,1840001383
Lincoln,Lincoln,NE,Nebraska,Lancaster,40.8090,-96.6788,289490,1160,America/Chicago,2,1840009357
Springfield,Springfield,MO,Missouri,Greene,37.1943,-93.2916,288090,786,America/Chicago,2,1840009904
Anchorage,Anchorage,AK,Alaska,Anchorage,61.1508,-149.1091,288000,65,America/Anchorage,2,1840023385
Plano,Plano,TX,Texas,Collin,33.0502,-96.7487,287677,1549,America/Chicago,2,1840020662
Irvine,Irvine,CA,California,Orange,33.6772,-117.7738,287401,1691,America/Los_Angeles,2,1840019325
Davenport,Davenport,IA,Iowa,Scott,41.5563,-90.6052,285362,617,America/Chicago,2,1840007081
Rockford,Rockford,IL,Illinois,Winnebago,42.2597,-89.0641,282762,873,America/Chicago,2,1840009132
Newark,Newark,NJ,New Jersey,Essex,40.7245,-74.1725,282011,4509,America/New_York,2,1840002791
South Bend,South Bend,IN,Indiana,St. Joseph,41.6767,-86.2696,280498,938,America/Indiana/Indianapolis,2,1840009241
Shreveport,Shreveport,LA,Louisiana,Caddo,32.4656,-93.7956,280062,672,America/Chicago,2,1840015768
Round Lake Beach,Round Lake Beach,IL,Illinois,Lake,42.3790,-88.0811,279381,2073,America/Chicago,2,1840011171
Savannah,Savannah,GA,Georgia,Chatham,32.0281,-81.1784,276295,536,America/New_York,2,1840015830
Myrtle Beach,Myrtle Beach,SC,South Carolina,Horry,33.7096,-78.8843,275579,568,America/New_York,2,1840014717
Chula Vista,Chula Vista,CA,California,San Diego,32.6281,-117.0145,274492,2134,America/Los_Angeles,2,1840019350
Eugene,Eugene,OR,Oregon,Lane,44.0563,-123.1173,273439,1510,America/Los_Angeles,2,1840020007
Canton,Canton,OH,Ohio,Stark,40.8075,-81.3677,269418,1040,America/New_York,2,1840000963
Lubbock,Lubbock,TX,Texas,Lubbock,33.5659,-101.8878,267648,741,America/Chicago,2,1840020604
Reading,Reading,PA,Pennsylvania,Berks,40.3400,-75.9267,267155,3466,America/New_York,2,1840001185
Winter Haven,Winter Haven,FL,Florida,Polk,28.0118,-81.7017,267069,538,America/New_York,2,1840015970
Salem,Salem,OR,Oregon,Marion,44.9231,-123.0246,266804,1382,America/Los_Angeles,2,1840021224
St. Petersburg,St. Petersburg,FL,Florida,Pinellas,27.7931,-82.6652,265351,1656,America/New_York,2,1840015977
Lafayette,Lafayette,LA,Louisiana,Lafayette,30.2084,-92.0323,264357,877,America/Chicago,2,1840015044
Laredo,Laredo,TX,Texas,Webb,27.5629,-99.4875,262491,958,America/Chicago,2,1840021002
Jersey City,Jersey City,NJ,New Jersey,Hudson,40.7161,-74.0682,262075,6863,America/New_York,2,1840003600
Concord,Concord,NC,North Carolina,Cabarrus,35.3933,-80.6366,261801,585,America/New_York,2,1840014559
Columbus,Columbus,GA,Georgia,Muscogee,32.5100,-84.8771,261445,349,America/New_York,2,1840014887
Chandler,Chandler,AZ,Arizona,Maricopa,33.2826,-111.8516,261165,1548,America/Phoenix,2,1840019309
McKinney,McKinney,TX,Texas,Collin,33.2015,-96.6669,258277,1148,America/Chicago,2,1840020657
Scottsdale,Scottsdale,AZ,Arizona,Maricopa,33.6872,-111.8651,258069,541,America/Phoenix,2,1840021940
Killeen,Killeen,TX,Texas,Bell,31.0754,-97.7296,258009,1073,America/Chicago,2,1840020854
Tallahassee,Tallahassee,FL,Florida,Leon,30.4551,-84.2526,257601,747,America/New_York,2,1840015913
Peoria,Peoria,IL,Illinois,Peoria,40.7520,-89.6153,256286,888,America/Chicago,2,1840009373
Wilmington,Wilmington,NC,North Carolina,New Hanover,34.2100,-77.8866,255616,929,America/New_York,2,1840015576
Montgomery,Montgomery,AL,Alabama,Montgomery,32.3473,-86.2666,254634,479,America/Chicago,2,1840008353
Gilbert,Gilbert,AZ,Arizona,Maricopa,33.3101,-111.7463,254114,1432,America/Phoenix,2,1840021947
Glendale,Glendale,AZ,Arizona,Maricopa,33.5791,-112.2311,252381,1582,America/Phoenix,2,1840020563
North Las Vegas,North Las Vegas,NV,Nevada,Clark,36.2880,-115.0901,251974,992,America/Los_Angeles,2,1840020363
Chesapeake,Chesapeake,VA,Virginia,Chesapeake,36.6778,-76.3024,244835,279,America/New_York,2,1840003874
Barnstable,Barnstable,MA,Massachusetts,Barnstable,41.6722,-70.3599,242847,286,America/New_York,2,1840031233
Norfolk,Norfolk,VA,Virginia,Norfolk,36.8945,-76.2590,242742,1759,America/New_York,2,1840003869
Fremont,Fremont,CA,California,Alameda,37.5265,-121.9852,241110,1201,America/Los_Angeles,2,1840020292
Kennewick,Kennewick,WA,Washington,Benton,46.1978,-119.1732,240735,1186,America/Los_Angeles,2,1840018481
Garland,Garland,TX,Texas,Dallas,32.9100,-96.6305,239928,1623,America/Chicago,2,1840020707
Irving,Irving,TX,Texas,Dallas,32.8584,-96.9702,239798,1380,America/Chicago,2,1840019438
Visalia,Visalia,CA,California,Tulare,36.3276,-119.3269,237386,1370,America/Los_Angeles,2,1840021639
Atlantic City,Atlantic City,NJ,New Jersey,Atlantic,39.3797,-74.4527,237054,1354,America/New_York,2,1840003798
Paradise,Paradise,NV,Nevada,Clark,36.0807,-115.1369,235087,1942,America/Los_Angeles,2,1840033743
Nashua,Nashua,NH,New Hampshire,Hillsborough,42.7491,-71.4910,233917,1118,America/New_York,2,1840002984
Arlington,Arlington,VA,Virginia,Arlington,38.8786,-77.1011,233464,3467,America/New_York,2,1840006112
Hialeah,Hialeah,FL,Florida,Miami-Dade,25.8696,-80.3046,233339,4174,America/New_York,2,1840015157
York,York,PA,Pennsylvania,York,39.9651,-76.7315,233184,3204,America/New_York,2,1840001472
Evansville,Evansville,IN,Indiana,Vanderburgh,37.9881,-87.5341,230427,962,America/Chicago,2,1840013730
Avondale,Avondale,AZ,Arizona,Maricopa,33.3858,-112.3236,227289,750,America/Phoenix,2,1840019310
Brownsville,Brownsville,TX,Texas,Cameron,25.9980,-97.4565,227239,533,America/Matamoros,2,1840019743
Gulfport,Gulfport,MS,Mississippi,Harrison,30.4271,-89.0703,220987,497,America/Chicago,2,1840013947
Appleton,Appleton,WI,Wisconsin,Outagamie,44.2779,-88.3891,220570,1156,America/Chicago,2,1840002400
Bremerton,Bremerton,WA,Washington,Kitsap,47.5436,-122.7122,218400,561,America/Los_Angeles,2,1840018410
Hickory,Hickory,NC,North Carolina,Catawba,35.7425,-81.3230,218323,536,America/New_York,2,1840014524
Tacoma,Tacoma,WA,Washington,Pierce,47.2431,-122.4531,217827,1690,America/Los_Angeles,2,1840021129
San Bernardino,San Bernardino,CA,California,San Bernardino,34.1417,-117.2946,215784,1341,America/Los_Angeles,2,1840021728
College Station,College Station,TX,Texas,Brazos,30.5852,-96.2960,215243,890,America/Chicago,2,1840019570
Kalamazoo,Kalamazoo,MI,Michigan,Kalamazoo,42.2749,-85.5882,215193,1192,America/Detroit,2,1840003185
Thousand Oaks,Thousand Oaks,CA,California,Ventura,34.1914,-118.8755,215029,885,America/Los_Angeles,2,1840021844
Roanoke,Roanoke,VA,Virginia,Roanoke,37.2785,-79.9580,214674,900,America/New_York,2,1840003858
Fontana,Fontana,CA,California,San Bernardino,34.0968,-117.4599,214547,1923,America/Los_Angeles,2,1840020402
Moreno Valley,Moreno Valley,CA,California,Riverside,33.9244,-117.2045,213055,1604,America/Los_Angeles,2,1840020552
North Port,North Port,FL,Florida,Sarasota,27.0577,-82.1975,209070,274,America/New_York,2,1840015120
Fargo,Fargo,ND,North Dakota,Cass,46.8652,-96.8292,208675,967,America/Chicago,2,1840000177
Green Bay,Green Bay,WI,Wisconsin,Brown,44.5150,-87.9896,207557,887,America/Chicago,2,1840002344
Spring Valley,Spring Valley,NV,Nevada,Clark,36.0987,-115.2619,207127,2404,America/Los_Angeles,2,1840033832
Amarillo,Amarillo,TX,Texas,Potter,35.1988,-101.8311,205603,756,America/Chicago,2,1840019156
Portland,Portland,ME,Maine,Cumberland,43.6773,-70.2715,203969,1185,America/New_York,2,1840000327
Santa Barbara,Santa Barbara,CA,California,Santa Barbara,34.4285,-119.7202,202401,1808,America/Los_Angeles,2,1840021829
Gainesville,Gainesville,FL,Florida,Alachua,29.6804,-82.3458,202335,820,America/New_York,2,1840014022
Olympia,Olympia,WA,Washington,Thurston,47.0417,-122.8959,200915,1119,America/Los_Angeles,2,1840019865
Frisco,Frisco,TX,Texas,Collin,33.1555,-96.8215,200490,1136,America/Chicago,2,1840020654
Yonkers,Yonkers,NY,New York,Westchester,40.9466,-73.8674,200370,4295,America/New_York,2,1840003478
Norwich,Norwich,CT,Connecticut,New London,41.5495,-72.0882,200289,533,America/New_York,2,1840004828
Glendale,Glendale,CA,California,Los Angeles,34.1818,-118.2468,199303,2525,America/Los_Angeles,2,1840020483
Huntington Beach,Huntington Beach,CA,California,Orange,33.6960,-118.0025,199223,2848,America/Los_Angeles,2,1840020578
Deltona,Deltona,FL,Florida,Volusia,28.9050,-81.2137,198361,960,America/New_York,2,1840015072
Aurora,Aurora,IL,Illinois,Kane,41.7637,-88.2901,197757,1696,America/Chicago,2,1840007034
Tempe,Tempe,AZ,Arizona,Maricopa,33.3881,-111.9318,195805,1891,America/Phoenix,2,1840021942
Overland Park,Overland Park,KS,Kansas,Johnson,38.8870,-94.6870,195494,1003,America/Chicago,2,1840003834
Grand Prairie,Grand Prairie,TX,Texas,Dallas,32.6872,-97.0209,194543,1039,America/Chicago,2,1840020709
Sunrise Manor,Sunrise Manor,NV,Nevada,Clark,36.1785,-115.0490,193781,2241,America/Los_Angeles,2,1840033833
Waco,Waco,TX,Texas,McLennan,31.5598,-97.1881,192315,605,America/Chicago,2,1840022140
Salinas,Salinas,CA,California,Monterey,36.6884,-121.6317,190972,2562,America/Los_Angeles,2,1840021632
Waterbury,Waterbury,CT,Connecticut,New Haven,41.5583,-73.0361,189614,1456,America/New_York,2,1840004851
Clarksville,Clarksville,TN,Tennessee,Montgomery,36.5695,-87.3420,188746,618,America/Chicago,2,1840014421
Cedar Rapids,Cedar Rapids,IA,Iowa,Linn,41.9665,-91.6782,188038,720,America/Chicago,2,1840000471
Sioux Falls,Sioux Falls,SD,South Dakota,Minnehaha,43.5397,-96.7320,187239,907,America/Chicago,2,1840002648
Huntington,Huntington,WV,West Virginia,Cabell,38.4109,-82.4344,186034,1073,America/New_York,2,1840006211
Ontario,Ontario,CA,California,San Bernardino,34.0393,-117.6064,185010,1429,America/Los_Angeles,2,1840020410
Hagerstown,Hagerstown,MD,Maryland,Washington,39.6401,-77.7217,184755,1272,America/New_York,2,1840005613
Erie,Erie,PA,Pennsylvania,Erie,42.1168,-80.0733,184484,1926,America/New_York,2,1840000478
Vancouver,Vancouver,WA,Washington,Clark,45.6366,-122.5967,184463,1461,America/Los_Angeles,2,1840021189
Nampa,Nampa,ID,Idaho,Canyon,43.5845,-116.5631,184428,1167,America/Boise,2,1840020041
Spartanburg,Spartanburg,SC,South Carolina,Spartanburg,34.9437,-81.9257,182701,730,America/New_York,2,1840015482
Gastonia,Gastonia,NC,North Carolina,Gaston,35.2494,-81.1853,182581,577,America/New_York,2,1840013468
Fort Lauderdale,Fort Lauderdale,FL,Florida,Broward,26.1412,-80.1464,182437,2036,America/New_York,2,1840014236
